MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary
101650	None	2017-12-14T02:35:06.1291655		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59885, Len: 12, Seq Range: 2335804425 - 2335804437	
101651	None	2017-12-14T02:35:06.1292618		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59885, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 1760212551 - 1760212552, Ack: 2335804437, Win: 16442368(scale factor: 8)	
101652	None	2017-12-14T02:35:06.1311742		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59885, Length: 0, Seq Range: 2335804437 - 2335804438, Ack: 1760212552, Win: 260	
101653	None	2017-12-14T02:35:06.1312318		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59885, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 1760212552 - 1760212552, Ack: 2335804438, Win: 64228	
101767	None	2017-12-14T02:35:06.1475928		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59886, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3155600307 - 3155600308, Ack: 0, Win: 8192(negotiating scale factor: 8)	
101787	None	2017-12-14T02:35:06.1494034		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59886, Length: 0, Seq Range: 993889288 - 993889289, Ack: 3155600308, Win: 512	
101788	None	2017-12-14T02:35:06.1494719		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59886, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3155600308 - 3155600308, Ack: 993889289, Win: 16445440(scale factor: 8)	
101789	None	2017-12-14T02:35:06.1495078	0,0017336	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59886, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 3155600308 - 3155600323	
102732	None	2017-12-14T02:35:06.4344831		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59886, Len: 12, Seq Range: 993889289 - 993889301	
102733	None	2017-12-14T02:35:06.4345849		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59886, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3155600323 - 3155600324, Ack: 993889301, Win: 16442368(scale factor: 8)	
102735	None	2017-12-14T02:35:06.4364874		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59886, Length: 0, Seq Range: 993889301 - 993889302, Ack: 3155600324, Win: 260	
102736	None	2017-12-14T02:35:06.4365505		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59886, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3155600324 - 3155600324, Ack: 993889302, Win: 64228	
102737	None	2017-12-14T02:35:06.4528706		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59887, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 994175369 - 994175370, Ack: 0, Win: 8192(negotiating scale factor: 8)	
102738	None	2017-12-14T02:35:06.4545807		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59887, Length: 0, Seq Range: 2436926472 - 2436926473, Ack: 994175370, Win: 512	
102739	None	2017-12-14T02:35:06.4548241		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59887, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 994175370 - 994175370, Ack: 2436926473, Win: 16445440(scale factor: 8)	
102740	None	2017-12-14T02:35:06.4548998	0,0016519	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59887, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 994175370 - 994175385	
104192	None	2017-12-14T02:35:06.8024650		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59887, Len: 12, Seq Range: 2436926473 - 2436926485	
104193	None	2017-12-14T02:35:06.8073005		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59887, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 994175385 - 994175386, Ack: 2436926485, Win: 16442368(scale factor: 8)	
104194	None	2017-12-14T02:35:06.8104900		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59887, Length: 0, Seq Range: 2436926485 - 2436926486, Ack: 994175386, Win: 260	
